log_id,temperature_c,vibration_mm_s,operating_hours,load_percent,failure_status
MC00001,88.2,9.27,33,94,Normal
MC00002,85.3,3.05,3875,60,Normal
MC00003,89.9,4.46,3559,105,Normal
MC00004,85.8,4.13,1491,44,Normal
MC00005,54.9,7.09,3602,86,Normal
MC00006,66.4,1.72,2206,59,Normal
MC00007,86.3,6.6,1622,78,Normal
MC00008,60.8,7.33,995,69,Normal
MC00009,97.7,7.99,1723,58,Normal
MC00010,73.7,10.9,988,82,Normal
MC00011,51.7,6.56,1549,94,Normal
MC00012,91.9,3.87,3271,96,Normal
MC00013,59.1,4.4,2082,104,Normal
MC00014,84.1,10.21,57,76,Normal
MC00015,78.1,9.45,690,31,Normal
MC00016,62,2.64,1391,102,Normal
MC00017,54.1,5.3,2150,82,Normal
MC00018,80.5,8.6,1177,53,Normal
MC00019,100,2.76,722,33,Normal
MC00020,77.1,9.69,54,54,Normal
MC00021,77.4,3.18,1937,77,Normal
MC00022,68.4,3.63,1735,78,Normal
MC00023,82.5,7.11,3322,57,Normal
MC00024,54.1,2.78,2513,78,Normal
MC00025,69.2,1.84,2721,104,Normal
MC00026,61.6,6.02,2156,75,Normal
MC00027,92.5,3.46,2122,87,Normal
MC00028,59.4,11.81,121,52,Normal
MC00029,64.5,7.7,2943,81,Normal
MC00030,75.3,11.02,3893,72,Normal
MC00031,53.1,10.82,1474,68,Normal
MC00032,60.5,7.73,699,57,Normal
MC00033,58.4,4.11,1488,48,Normal
MC00034,69.8,5,2413,38,Normal
MC00035,68.1,5.13,3719,52,Normal
MC00036,64.7,10.6,2853,100,Normal
MC00037,77.4,10.18,1914,88,Normal
MC00038,99.1,6.75,2324,70,Normal
MC00039,73,4.04,238,55,Normal
MC00040,45.8,7.79,1572,96,Normal
MC00041,70,4.84,3362,98,Normal
MC00042,67.5,9.73,2779,98,Normal
MC00043,56.5,11.14,3816,46,Normal
MC00044,73,3.72,210,42,Normal
MC00045,53,9.61,96,33,Normal
MC00046,80.9,4.26,1809,70,Normal
MC00047,52,2.17,2397,71,Normal
MC00048,77.2,7.72,3929,66,Normal
MC00049,63.9,5.43,3580,61,Normal
MC00050,45.7,5.22,2196,60,Normal
MC00051,93,5.66,1190,46,Normal
MC00052,82.1,7.64,2518,85,Normal
MC00053,73.3,4.32,2878,79,Normal
MC00054,59.1,6.95,2622,55,Normal
MC00055,46.8,8.35,121,43,Normal
MC00056,48,8.04,820,66,Normal
MC00057,90.1,4.18,38,76,Failure
MC00058,80.5,9.36,703,69,Normal
MC00059,98.3,4.73,820,71,Normal
MC00060,83.4,8.26,3831,81,Normal
MC00061,89.3,11.48,3424,33,Normal
MC00062,67.5,9.64,1184,66,Failure
MC00063,79.4,7.97,1329,79,Normal
MC00064,62.6,11.13,3763,78,Failure
MC00065,63,7.86,540,83,Normal
MC00066,68,4.97,3662,87,Normal
MC00067,68.4,3.84,2577,86,Normal
MC00068,59.8,4.07,2925,45,Normal
MC00069,81.3,4.92,1688,93,Normal
MC00070,65.1,7.48,312,52,Normal
MC00071,66.3,6.47,147,93,Normal
MC00072,50.5,11.18,43,96,Normal
MC00073,88.1,1.93,2423,76,Failure
MC00074,65.4,6.08,3302,78,Normal
MC00075,89.4,6.16,176,74,Normal
MC00076,55.9,1.66,743,99,Normal
MC00077,98.2,3.82,716,53,Normal
MC00078,93.1,7.31,1927,66,Normal
MC00079,80.4,7.6,1383,63,Normal
MC00080,84.5,6.61,1039,76,Normal
MC00081,51.8,11.39,443,34,Normal
MC00082,65.9,4.77,926,85,Normal
MC00083,85.4,11.37,1721,45,Normal
MC00084,63.6,9.87,2893,37,Failure
MC00085,46.8,10.56,1507,103,
MC00086,90.8,3.33,3545,44,Normal
MC00087,85.1,11.32,930,36,Normal
MC00088,99.3,2.41,88,65,Normal
MC00089,47.4,4.12,1979,93,Normal
MC00090,59.9,4.12,3930,57,Normal
MC00091,88,9.91,3348,66,Normal
MC00092,84,9.04,2408,95,Normal
MC00093,84.2,7.71,3933,73,Normal
MC00094,45.1,9.44,2776,37,Normal
MC00095,58.1,10.49,3413,33,Normal
MC00096,63.1,8.32,2360,68,Normal
MC00097,51.8,,1729,63,Normal
MC00098,47,3.59,3245,39,Normal
MC00099,73.4,11.03,607,58,Failure
MC00100,52.1,7.67,3854,46,Normal
MC00101,59.6,9.36,3571,53,Normal
MC00102,77,3.54,744,36,Normal
MC00103,91.3,3.43,826,63,Normal
MC00104,48.9,3.21,3714,95,Normal
MC00105,76.9,7.63,3017,51,Normal
MC00106,49.7,8.26,2599,,Normal
MC00107,92.8,3.14,3079,56,Normal
MC00108,73.5,11.35,1215,50,Failure
MC00109,88.8,5.66,3680,87,Normal
MC00110,75.3,2.7,3738,99,Normal
MC00111,70.4,4.63,2177,103,Normal
MC00112,70.8,8.78,2086,94,Normal
MC00113,96,10.17,2614,36,Normal
MC00114,48.4,3.62,1807,84,Normal
MC00115,83.8,8.2,2524,88,Normal
MC00116,70.8,7.09,204,31,Normal
MC00117,71.5,1.58,2679,58,Normal
MC00118,64.7,7.42,1964,77,Normal
MC00119,61.3,3,2555,66,Normal
MC00120,81.1,5.09,966,31,Normal
MC00106,49.7,8.26,2599,,Normal
MC00084,63.6,9.87,2893,37,Failure
MC00044,73,3.72,210,42,Normal
